location,index,block,treatment,depth,soil_carbon,no3,nh4,p,icp_k,site,depth_cm
WIU,105,II,Golden PC,10-15,1.4,9.6,5,15.2,123.3,wiu,10
WIU,106,II,Golden PC,15-20,1.4,13.2,5.3,16.8,117.1,wiu,15
WIU,107,II,Golden PC,20-25,1.6,13.1,5.5,22.1,120.7,wiu,20
WIU,108,II,Golden PC,25-30,1.5,5.5,12.2,26.4,118.2,wiu,25
WIU,109,III,Control,0-2,2.8,8.3,7.7,30.7,218.2,wiu,0
WIU,110,III,Control,2-4,1.9,6.3,12.8,35.4,214.6,wiu,2
WIU,111,III,Control,4-6,1.6,10.3,10.6,19.5,157.2,wiu,4
WIU,112,III,Control,6-8,1.6,12.6,10.2,16,142,wiu,6
WIU,113,III,Control,8-10,1.5,19.2,7.9,12.9,120.1,wiu,8
WIU,114,III,Control,10-15,1.5,21.4,5.8,13.5,116,wiu,10
WIU,115,III,Control,15-20,1.3,18.3,5.4,14,99.5,wiu,15
WIU,116,III,Control,20-25,1.4,17.1,3.8,10,86.3,wiu,20
WIU,117,III,Control,25-30,1.3,0.6,5.3,9.5,82.9,wiu,25
WIU,118,III,PCRO,0-2,2.7,5.8,3.7,51.1,357.5,wiu,0
WIU,119,III,PCRO,2-4,1.8,6.9,4.2,44.5,313.8,wiu,2
WIU,120,III,PCRO,4-6,1.7,7.8,4.5,27.1,251.4,wiu,4
WIU,121,III,PCRO,6-8,1.6,3.7,4.5,18.6,182.5,wiu,6
WIU,122,III,PCRO,8-10,1.4,5.8,4,15.2,154.9,wiu,8
WIU,123,III,PCRO,10-15,1.4,7.2,4.7,10.4,122.9,wiu,10
WIU,124,III,PCRO,15-20,1.3,7.1,4.6,11.5,102.6,wiu,15
WIU,125,III,PCRO,20-25,1.3,7.3,4.8,11,94.9,wiu,20
WIU,126,III,PCRO,25-30,1.3,4.7,5,9.5,85.9,wiu,25
WIU,127,III,Wild PC,0-2,2.2,6.4,27.9,31.5,224.2,wiu,0
WIU,128,III,Wild PC,2-4,1.8,8,17.3,23.3,177.8,wiu,2
WIU,129,III,Wild PC,4-6,1.7,7,14.7,17.6,135.7,wiu,4
WIU,130,III,Wild PC,6-8,1.6,11.4,7.4,15.5,123.9,wiu,6
WIU,131,III,Wild PC,8-10,1.6,10.5,7,13.3,116.3,wiu,8
WIU,132,III,Wild PC,10-15,1.6,13.6,6.8,14.6,110.1,wiu,10
WIU,133,III,Wild PC,15-20,1.7,11.5,10.9,14.4,106.5,wiu,15
WIU,134,III,Wild PC,20-25,1.4,9.7,6.4,11.6,93.2,wiu,20
WIU,135,III,Wild PC,25-30,1.4,8.7,6.8,10.9,93.8,wiu,25
WIU,136,III,Cereal Rye,0-2,2.4,6.3,8.8,30.9,214.6,wiu,0
WIU,137,III,Cereal Rye,2-4,1.8,10.3,5,25.9,193.7,wiu,2
WIU,138,III,Cereal Rye,4-6,1.7,5.7,10.1,22.7,146.9,wiu,4
WIU,139,III,Cereal Rye,6-8,1.6,6.2,10.5,17.3,134.9,wiu,6
WIU,140,III,Cereal Rye,8-10,1.6,6.8,8.9,15.7,113.4,wiu,8
WIU,141,III,Cereal Rye,10-15,1.5,8.1,5,12.1,100.9,wiu,10
WIU,142,III,Cereal Rye,15-20,1.5,10.1,4.3,11.2,107.5,wiu,15
WIU,143,III,Cereal Rye,20-25,1.4,9.1,5.2,10.9,98.9,wiu,20
WIU,144,III,Cereal Rye,25-30,1.4,10.5,4.8,10.2,92.9,wiu,25
WIU,145,III,Ann Ryegrass,0-2,2.2,5.7,22.9,47.7,252.5,wiu,0
WIU,146,III,Ann Ryegrass,2-4,1.8,11.9,6.9,35.2,216,wiu,2
WIU,147,III,Ann Ryegrass,4-6,1.6,8.9,5.7,20.2,152.9,wiu,4
WIU,148,III,Ann Ryegrass,6-8,1.5,9.4,5.8,18.9,137,wiu,6
WIU,149,III,Ann Ryegrass,8-10,1.5,6.7,4.9,15.8,120.7,wiu,8
WIU,150,III,Ann Ryegrass,10-15,1.4,7,7.1,12,98,wiu,10
WIU,151,III,Ann Ryegrass,15-20,1.3,8.2,3.6,10.7,100,wiu,15
WIU,152,III,Ann Ryegrass,20-25,1.3,10.5,4,12.1,92.7,wiu,20
WIU,153,III,Ann Ryegrass,25-30,1.4,11.3,4.9,11.9,87.1,wiu,25
WIU,154,III,Golden PC,0-2,2.2,8.8,5,41.4,276.3,wiu,0
WIU,155,III,Golden PC,2-4,2,12.3,4.9,24.8,200.2,wiu,2
WIU,156,III,Golden PC,4-6,1.6,8,6.4,18,141.7,wiu,4
WIU,157,III,Golden PC,6-8,1.6,10.4,4.4,21.5,169.4,wiu,6
WIU,158,III,Golden PC,8-10,1.5,8.3,5.4,16.2,116,wiu,8
WIU,159,III,Golden PC,10-15,1.4,6.8,4.4,11.5,114.5,wiu,10
WIU,160,III,Golden PC,15-20,1.4,8.2,3.6,10.8,102.4,wiu,15
WIU,161,III,Golden PC,20-25,1.5,10.9,4.2,11.1,102.4,wiu,20
WIU,162,III,Golden PC,25-30,1.4,9.2,4,10.1,87.6,wiu,25
WIU,163,IV,Control,0-2,1.9,3,17.9,31.1,178.7,wiu,0
WIU,164,IV,Control,2-4,1.7,5.4,12.6,24.1,142.4,wiu,2
WIU,165,IV,Control,4-6,1.6,8.3,9.3,19.1,131.6,wiu,4
WIU,166,IV,Control,6-8,1.5,9.1,6.8,16.9,122.5,wiu,6
WIU,167,IV,Control,8-10,1.4,8.7,5.5,14.5,119,wiu,8
WIU,168,IV,Control,10-15,1.4,10.2,3.7,10.5,98,wiu,10
WIU,169,IV,Control,15-20,1.5,14.6,4,10.9,102,wiu,15
WIU,170,IV,Control,20-25,1.6,19.3,4.4,14.7,105.4,wiu,20
WIU,171,IV,Control,25-30,1.7,16.1,4.5,17,104.6,wiu,25
WIU,172,IV,PCRO,0-2,2.9,2.8,23.9,41.8,245.6,wiu,0
WIU,173,IV,PCRO,2-4,2,9.2,12.2,29.2,197.1,wiu,2
WIU,174,IV,PCRO,4-6,1.7,11.1,10,21.7,170.3,wiu,4
WIU,175,IV,PCRO,6-8,1.5,8.2,7.8,16.4,141.5,wiu,6
WIU,176,IV,PCRO,8-10,1.4,6.4,7.7,13.4,120,wiu,8
WIU,177,IV,PCRO,10-15,1.3,29.2,4.3,10.3,100.7,wiu,10
WIU,178,IV,PCRO,15-20,1.3,21,5.2,9.7,94.2,wiu,15
WIU,179,IV,PCRO,20-25,1.3,25.6,4.6,10.9,94.3,wiu,20
WIU,180,IV,PCRO,25-30,1.3,23,5.5,10.1,88.8,wiu,25
WIU,181,IV,Wild PC,0-2,2.2,2.9,19.7,49.7,296.9,wiu,0
WIU,182,IV,Wild PC,2-4,1.6,4.3,18.8,35.6,237,wiu,2
WIU,183,IV,Wild PC,4-6,1.5,4.6,16.6,24.1,171.9,wiu,4
WIU,184,IV,Wild PC,6-8,1.4,11.2,15.5,18.1,136.3,wiu,6
WIU,185,IV,Wild PC,8-10,1.4,13.9,11,13.1,115.1,wiu,8
WIU,186,IV,Wild PC,10-15,1.3,14.2,5.2,12.4,99.6,wiu,10
WIU,187,IV,Wild PC,15-20,1.3,12.7,5.3,10.1,95.6,wiu,15
WIU,188,IV,Wild PC,20-25,1.3,14.3,4.6,10,91.5,wiu,20
WIU,189,IV,Wild PC,25-30,1.2,14.6,4.5,10.4,84.7,wiu,25
WIU,190,IV,Cereal Rye,0-2,2.3,7.2,11.6,33.6,234,wiu,0
WIU,191,IV,Cereal Rye,2-4,1.7,15.7,9,24.4,200.4,wiu,2
WIU,192,IV,Cereal Rye,4-6,1.6,16.5,6.8,18.4,147.8,wiu,4
WIU,193,IV,Cereal Rye,6-8,1.5,15.3,5.9,13.8,125.8,wiu,6
WIU,194,IV,Cereal Rye,8-10,1.4,18.3,5.8,13,120.7,wiu,8
WIU,195,IV,Cereal Rye,10-15,1.5,10.9,12.8,15.2,120.4,wiu,10
WIU,196,IV,Cereal Rye,15-20,1.6,23.9,8.3,14.3,101.4,wiu,15
WIU,197,IV,Cereal Rye,20-25,1.5,26.9,5,12.7,94.8,wiu,20
WIU,198,IV,Cereal Rye,25-30,1.2,10.8,4.9,12.5,99.5,wiu,25
WIU,199,IV,Ann Ryegrass,0-2,2,3,65.2,NA,281,wiu,0
WIU,200,IV,Ann Ryegrass,2-4,1.6,4.6,94,31.2,220.1,wiu,2
WIU,201,IV,Ann Ryegrass,4-6,1.5,-0.8,75.3,26.7,168.2,wiu,4
WIU,202,IV,Ann Ryegrass,6-8,1.5,10.2,73.5,22.9,146,wiu,6
WIU,203,IV,Ann Ryegrass,8-10,1.4,14,61.7,20.3,119.3,wiu,8
WIU,204,IV,Ann Ryegrass,10-15,1.4,23.2,18.3,13.6,109.6,wiu,10
WIU,205,IV,Ann Ryegrass,15-20,1.4,31.3,7.6,11.8,102.3,wiu,15
WIU,206,IV,Ann Ryegrass,20-25,1.3,19.7,5.3,10.2,98.9,wiu,20
WIU,207,IV,Ann Ryegrass,25-30,1.2,34.2,10.5,11.3,104,wiu,25
WIU,208,IV,Golden PC,0-2,1.7,2.4,11.1,50.6,303.9,wiu,0
WIU,209,IV,Golden PC,2-4,1.6,7.6,4.7,26.8,197.1,wiu,2
WIU,210,IV,Golden PC,4-6,1.5,8.5,5.6,24.8,181.6,wiu,4
WIU,211,IV,Golden PC,6-8,1.3,5.5,4.9,19.7,140.8,wiu,6
WIU,212,IV,Golden PC,8-10,1.3,6.5,5.5,17.4,144,wiu,8
WIU,213,IV,Golden PC,10-15,1.3,5.1,7.3,18,135.8,wiu,10
WIU,214,IV,Golden PC,15-20,1.4,8.3,6.5,17.7,122.3,wiu,15
WIU,215,IV,Golden PC,20-25,1.4,10.4,6,19.8,122.4,wiu,20
WIU,216,IV,Golden PC,25-30,1,3.5,4.4,10,109.6,wiu,25
