location,index,block,treatment,depth,soil_carbon,no3,nh4,p,icp_k,site,depth_cm
ISU,139,III,Cereal Rye,6-8,2.8,8.7,16.9,31.6,142.5,isu,6
ISU,140,III,Cereal Rye,8-10,2.8,6,17.3,32.3,135.7,isu,8
ISU,141,III,Cereal Rye,10-15,2.7,4.9,10.9,30.6,125.4,isu,10
ISU,142,III,Cereal Rye,15-20,2.4,3.2,8.8,17.9,134.5,isu,15
ISU,143,III,Cereal Rye,20-25,2.3,3.3,6.8,11.7,123.6,isu,20
ISU,144,III,Cereal Rye,25-30,2,3.5,4.8,9.7,132.5,isu,25
ISU,145,III,Ann Ryegrass,0-2,4.2,37.5,24.7,96.5,332.3,isu,0
ISU,146,III,Ann Ryegrass,2-4,3.5,29.8,16.3,61,191.1,isu,2
ISU,147,III,Ann Ryegrass,4-6,3.1,22.9,9.1,49.3,172,isu,4
ISU,148,III,Ann Ryegrass,6-8,3.2,16.8,9.2,60,153.3,isu,6
ISU,149,III,Ann Ryegrass,8-10,3,11.5,9.4,58.5,165.3,isu,8
ISU,150,III,Ann Ryegrass,10-15,2.5,7.1,8.5,15.5,134.7,isu,10
ISU,151,III,Ann Ryegrass,15-20,2.4,3.9,6.7,12.8,116.7,isu,15
ISU,152,III,Ann Ryegrass,20-25,2.2,2.9,5.7,11.8,130.8,isu,20
ISU,153,III,Ann Ryegrass,25-30,1.9,2.2,5,9.7,137.1,isu,25
ISU,154,III,Golden PC,0-2,4,23.6,12,84.9,345.1,isu,0
ISU,155,III,Golden PC,2-4,3.3,19,11.1,57.7,242,isu,2
ISU,156,III,Golden PC,4-6,3,13.7,8.6,38.5,172.7,isu,4
ISU,157,III,Golden PC,6-8,2.9,11.2,8.7,34.9,142.1,isu,6
ISU,158,III,Golden PC,8-10,2.7,7.4,8,24.8,134.1,isu,8
ISU,159,III,Golden PC,10-15,2.4,6.1,7.9,17.7,134.2,isu,10
ISU,160,III,Golden PC,15-20,2.4,4.8,7.5,13.7,119.4,isu,15
ISU,161,III,Golden PC,20-25,2.3,3.4,5.4,12.5,113.8,isu,20
ISU,162,III,Golden PC,25-30,1.9,3,3.9,8.8,138,isu,25
ISU,163,IV,Control,0-2,3.9,19.6,22.9,110.8,363.3,isu,0
ISU,164,IV,Control,2-4,3.7,24.4,15.4,88.8,223.5,isu,2
ISU,165,IV,Control,4-6,3.4,11.9,17.4,75.9,180.9,isu,4
ISU,166,IV,Control,6-8,3.3,8.4,16.7,58.8,152.1,isu,6
ISU,167,IV,Control,8-10,2.9,4.1,13.7,43.9,158.1,isu,8
ISU,168,IV,Control,10-15,2.7,3.5,10.8,26.9,144.7,isu,10
